Test,PhEur 6.0,USP32–NF27
Identification,þ,þ
Characters,þ,—
Appearance of solution,þ,—
pH,þ,þ
Type A,5.5–7.5,5.5–7.5
Type B,3.0–5.0,3.0–5.0
Type C,5.5–7.5,—
Heavy metals,420 ppm,40.002%
Iron,420 ppm,40.002%
Loss on drying,þ,410%
Type A,410.0%,—
Type B,410.0%,—
Type C,47.0%,—
Microbial limits,þ(a),þ(a)
Sodium chloride,þ,47.0%
Type A,47.0%,—
Type B,47.0%,—
Type C,41.0%,—
Sodium glycolate,þ,42.0%
Type A,42.0%,—
Type B,42.0%,—
Type C,42.0%,—
Assay (of Na),þ,þ
Type A,2.8–4.2%,2.8–4.2%
Type B,2.0–3.4%,2.0–3.4%
Type C,2.8–5.0%,—
